OMEL - Mercado de electricidad;Fecha Emisión :31/12/2008 - 12:08;;01/01/2009;Precio del mercado diario (cent/kWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (Cent/kWh);  5,501;  5,613;  5,059;  4,583;  4,190;  4,000;  4,000;  4,000;  3,520;  3,515;  3,900;  4,350;  4,531;  4,531;  4,483;  4,200;  4,208;  4,531;  5,300;  5,675;  5,740;  5,869;  6,250;  5,800;
Precio marginal en el sistema portugués (Cent/kWh);  5,501;  5,613;  5,059;  4,583;  4,207;  4,204;  4,215;  4,200;  4,205;  3,859;  4,101;  4,350;  4,531;  4,531;  4,483;  4,200;  4,208;  4,531;  5,300;  5,675;  5,740;  5,869;  5,956;  5,800;
Energía total de compra sistema español (MWh);  21425,8;  20232,3;  18524,6;  16813,8;  15881,3;  15566,6;  15235,9;  14924,1;  15335,3;  15555,0;  16275,7;  17199,1;  17687,4;  18366,1;  18370,6;  17301,0;  17005,8;  17937,3;  20974,5;  22520,4;  23422,3;  23886,6;  24092,1;  22788,3;
Energía total de venta sistema español (MWh);  22287,6;  21388,8;  19735,2;  18132,5;  17381,3;  17066,6;  16735,9;  16424,1;  16835,3;  17055,0;  17775,7;  18229,9;  18676,9;  19126,2;  18905,2;  18410,5;  18060,6;  18165,9;  20967,8;  22599,5;  22891,1;  23122,9;  23292,1;  22173,2;
Energía total de compra sistema portugués (MWh);   4399,8;   4444,6;   4279,2;   3902,7;   3563,5;   3380,1;   3333,0;   3334,5;   3228,1;   3202,0;   3403,6;   3836,4;   4232,6;   4255,6;   3850,6;   3534,2;   3520,8;   3668,6;   4358,3;   5032,0;   5190,5;   5256,2;   5240,8;   5227,5;
Energía total de venta sistema portugués (MWh);   3538,0;   3288,1;   3068,6;   2584,0;   2063,5;   1880,1;   1833,0;   1834,5;   1728,1;   1702,0;   1903,6;   2805,6;   3243,1;   3495,5;   3316,0;   2424,7;   2466,0;   3440,0;   4365,0;   4952,9;   5721,7;   6019,9;   6040,8;   5842,6;
Energía total del mercado Ibérico (MWh);  25825,6;  24676,9;  22803,8;  20716,5;  19444,8;  18946,7;  18568,9;  18258,6;  18563,4;  18757,0;  19679,3;  21035,5;  21920,0;  22621,7;  22221,2;  20835,2;  20526,6;  21605,9;  25332,8;  27552,4;  28612,8;  29142,8;  29332,9;  28015,8;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      6,7;      0,0;    531,2;    763,7;    800,0;    615,1;
Exportación de España a Portugal (MWh);    861,8;   1156,5;   1210,6;   1318,7;   1500,0;   1500,0;   1500,0;   1500,0;   1500,0;   1500,0;   1500,0;   1030,8;    989,5;    760,1;    534,6;   1109,5;   1054,8;    228,6;      0,0;     79,1;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
